temperature,vibration,rpm,current,voltage,bearing_temperature,torque,lubrication_level,status
91.54,2.1,1471.82,11.47,416.17,87.79,25.9,80.83,Overheating
62.77,1.81,1494.34,9.95,415.67,56.85,23.0,81.88,Healthy
60.71,2.37,1490.93,10.13,418.07,54.51,23.84,78.17,Healthy
92.28,1.93,1498.9,10.76,412.65,95.02,23.26,86.17,Overheating
72.9,2.22,1409.74,11.8,414.11,68.87,25.2,64.14,Early Warning
68.16,9.48,1388.9,11.21,413.9,85.79,30.23,52.04,Bearing Failure
92.87,1.77,1489.11,10.87,416.37,85.95,26.42,87.41,Overheating
62.13,2.04,1493.03,9.77,417.57,54.43,22.45,81.6,Healthy
61.9,6.28,1479.89,9.56,413.98,67.27,22.94,76.5,Motor Misalignment
67.01,6.99,1472.85,11.02,411.1,68.0,19.52,80.22,Motor Misalignment
71.81,8.18,1315.8,11.86,409.22,89.9,23.24,48.2,Bearing Failure
75.85,3.78,1475.75,10.41,409.06,73.77,24.82,69.32,Early Warning
60.73,1.75,1508.65,10.03,415.33,53.78,22.2,80.37,Healthy
94.5,1.97,1455.26,9.67,417.74,88.59,27.75,83.23,Overheating
78.2,2.98,1430.98,10.89,409.53,64.4,21.99,68.93,Early Warning
68.44,5.0,1495.61,10.74,416.23,64.89,29.67,80.02,Motor Misalignment
70.67,1.93,1474.61,16.11,385.27,67.11,18.98,83.57,Electrical Fault
95.98,1.78,1478.89,10.91,412.13,86.83,26.81,79.32,Overheating
70.52,6.59,1354.43,11.16,413.24,62.01,30.41,77.75,Motor Misalignment
71.62,8.08,1436.1,12.27,412.21,82.86,18.63,59.63,Bearing Failure
99.5,2.74,1478.27,11.15,412.64,92.51,23.61,85.39,Overheating
60.35,1.85,1526.21,9.7,414.17,50.39,22.63,83.45,Healthy
67.02,5.82,1347.92,10.71,412.22,70.05,27.6,81.43,Motor Misalignment
57.4,1.31,1504.74,9.96,413.68,46.13,22.51,88.36,Healthy
63.69,4.12,1326.31,10.11,416.31,67.42,30.04,77.21,Motor Misalignment
62.61,2.04,1482.49,15.72,397.96,56.74,20.86,79.68,Electrical Fault
66.11,6.1,1379.17,12.17,412.7,64.64,27.83,83.61,Motor Misalignment
72.3,7.57,1373.44,10.63,411.19,85.18,22.06,49.07,Bearing Failure
75.45,2.77,1400.64,10.4,412.32,69.45,24.76,71.99,Early Warning
58.52,6.08,1338.05,10.14,414.32,63.65,23.62,77.75,Motor Misalignment
104.66,2.07,1498.62,11.23,415.07,89.91,23.6,71.9,Overheating
72.42,9.58,1450.57,11.49,416.37,82.9,28.35,49.87,Bearing Failure
72.67,8.3,1427.83,12.31,412.42,93.38,19.36,58.28,Bearing Failure
58.25,1.69,1472.48,9.69,412.81,57.31,26.62,84.56,Healthy
67.39,5.5,1320.23,10.4,415.15,67.0,30.56,81.18,Motor Misalignment
67.28,3.69,1456.19,16.98,408.19,63.92,23.97,79.3,Electrical Fault
65.47,1.44,1493.41,10.02,420.34,53.52,24.05,89.65,Healthy
72.54,4.3,1442.27,11.23,412.2,71.98,28.74,69.61,Early Warning
95.03,3.17,1495.07,10.19,420.26,94.39,26.76,81.94,Overheating
74.6,1.74,1441.71,11.01,416.12,73.93,23.44,72.45,Early Warning
74.44,6.96,1407.34,10.14,410.06,79.29,20.66,29.82,Lubrication Failure
72.33,7.5,1427.84,11.15,411.87,83.52,18.93,35.75,Lubrication Failure
67.02,9.33,1369.32,11.99,408.35,79.54,22.66,62.18,Bearing Failure
62.6,2.01,1511.77,9.95,415.73,58.19,23.7,83.11,Healthy
75.74,3.47,1476.88,10.73,412.28,73.18,23.72,66.67,Early Warning
74.58,5.96,1457.77,10.72,418.67,84.73,22.73,31.4,Lubrication Failure
61.04,8.6,1373.63,10.19,411.95,86.1,26.83,52.3,Bearing Failure
71.6,3.24,1520.98,16.34,389.72,55.53,18.38,83.43,Electrical Fault
90.67,2.5,1471.47,11.18,413.66,89.43,25.39,80.54,Overheating
75.76,3.17,1423.47,10.43,408.32,69.66,26.45,65.86,Early Warning
58.51,2.55,1464.32,19.01,394.88,61.78,20.38,82.28,Electrical Fault
68.49,2.52,1478.36,16.56,398.73,57.32,18.08,79.98,Electrical Fault
60.34,3.36,1458.03,15.17,396.02,59.68,21.27,80.98,Electrical Fault
92.04,1.7,1435.0,10.78,413.79,94.72,27.26,81.75,Overheating
74.2,3.42,1455.28,10.88,414.2,70.84,24.37,78.3,Early Warning
95.85,2.25,1485.8,11.36,416.93,83.75,28.62,83.74,Overheating
63.57,1.59,1506.96,9.87,415.98,53.12,23.23,88.16,Healthy
73.02,5.37,1414.87,10.9,415.14,90.13,23.43,27.85,Lubrication Failure
79.05,3.82,1460.61,11.3,408.86,67.37,23.39,67.82,Early Warning
60.55,2.16,1490.31,14.62,388.98,70.65,19.01,85.25,Electrical Fault
72.18,5.97,1384.33,11.55,422.11,86.76,21.67,29.39,Lubrication Failure
69.63,3.87,1342.15,10.47,411.68,64.54,25.45,83.03,Motor Misalignment
64.09,9.08,1362.66,12.13,408.11,87.51,22.9,57.4,Bearing Failure
78.03,3.46,1463.69,11.35,410.68,67.26,25.97,69.09,Early Warning
68.07,1.97,1524.66,16.55,384.32,66.29,24.06,79.27,Electrical Fault
92.06,2.34,1474.94,10.91,418.29,89.66,25.29,79.19,Overheating
95.57,1.96,1500.83,11.02,416.52,86.1,28.0,81.5,Overheating
74.78,7.29,1387.92,13.15,416.08,84.31,21.3,54.15,Bearing Failure
70.2,6.05,1480.19,10.09,415.5,81.43,21.34,22.37,Lubrication Failure
86.05,3.04,1476.47,9.32,411.85,86.5,24.69,78.91,Overheating
72.66,6.52,1412.67,10.48,409.5,83.29,24.7,27.45,Lubrication Failure
73.33,3.99,1470.78,10.18,410.55,68.61,25.8,73.43,Early Warning
62.64,2.29,1515.67,13.78,395.82,57.46,19.5,80.95,Electrical Fault
77.84,7.79,1413.43,11.67,413.26,85.83,23.72,63.79,Bearing Failure
66.99,7.23,1425.46,11.61,412.85,87.36,23.97,56.71,Bearing Failure
66.57,5.96,1378.72,11.77,414.57,64.4,38.0,75.23,Motor Misalignment
59.72,1.95,1521.23,10.3,415.22,52.76,22.86,83.47,Healthy
62.36,9.74,1443.94,10.78,413.87,94.01,27.07,52.97,Bearing Failure
74.69,3.49,1480.33,10.99,416.26,72.82,26.0,64.64,Early Warning
66.54,3.01,1441.51,17.28,397.12,58.23,23.93,84.21,Electrical Fault
69.66,8.98,1319.48,12.69,415.94,84.78,23.09,52.21,Bearing Failure
74.4,3.92,1425.4,10.86,414.71,69.4,27.35,67.24,Early Warning
99.66,2.77,1449.45,10.88,416.52,97.53,29.56,77.61,Overheating
65.72,8.17,1464.57,10.64,409.35,90.96,21.75,57.43,Bearing Failure
93.93,2.17,1461.38,12.03,410.15,88.4,26.22,79.25,Overheating
94.59,2.79,1489.33,11.23,421.22,96.61,29.36,77.61,Overheating
70.74,5.04,1292.39,10.97,414.11,64.33,35.95,79.5,Motor Misalignment
73.47,1.91,1504.77,17.33,396.44,66.11,19.49,83.21,Electrical Fault
74.51,4.5,1464.07,10.63,408.8,71.7,23.83,65.71,Early Warning
73.26,3.93,1441.83,11.76,409.54,65.57,22.15,65.85,Early Warning
72.11,7.21,1376.9,10.96,410.93,86.97,23.26,35.93,Lubrication Failure
57.25,2.64,1490.97,10.04,411.11,60.12,27.24,85.89,Healthy
68.73,6.59,1373.87,10.66,411.75,80.81,26.13,34.23,Lubrication Failure
66.25,2.27,1534.57,17.63,404.12,59.0,21.67,83.05,Electrical Fault
80.23,3.83,1417.09,10.39,411.45,69.05,30.15,69.44,Early Warning
69.91,5.98,1359.23,10.99,415.26,64.12,26.81,75.86,Motor Misalignment
71.21,6.21,1534.77,10.07,414.69,62.19,37.76,76.34,Motor Misalignment
79.05,3.31,1452.48,11.01,416.89,65.25,26.21,69.4,Early Warning
70.15,2.71,1525.71,16.7,388.26,56.65,20.53,77.69,Electrical Fault
56.05,2.16,1544.68,10.5,419.28,55.26,21.68,79.47,Healthy
67.06,9.12,1349.05,10.2,413.91,84.83,22.95,61.41,Bearing Failure
66.25,6.73,1423.17,11.12,416.59,66.86,30.77,77.28,Motor Misalignment
73.55,7.43,1424.95,10.72,413.53,80.93,23.65,26.18,Lubrication Failure
65.26,6.33,1355.62,10.57,412.47,58.5,36.31,78.68,Motor Misalignment
76.62,8.37,1395.7,12.07,412.49,90.7,19.16,48.64,Bearing Failure
64.01,2.6,1429.83,16.49,398.21,62.45,22.8,82.49,Electrical Fault
69.69,8.11,1394.56,12.45,411.26,99.28,21.09,56.2,Bearing Failure
76.72,3.13,1445.81,11.14,408.34,70.76,23.86,70.39,Early Warning
93.2,2.04,1474.35,10.01,412.12,92.01,23.28,78.93,Overheating
73.79,6.09,1325.25,11.45,412.39,62.81,32.56,74.97,Motor Misalignment
92.32,2.47,1480.79,10.87,417.58,83.05,24.65,83.7,Overheating
68.88,5.68,1388.97,10.38,416.54,82.64,16.25,33.37,Lubrication Failure
70.72,7.25,1419.04,11.12,414.56,90.43,21.22,44.74,Bearing Failure
78.11,5.44,1395.44,10.85,413.69,83.93,24.79,34.28,Lubrication Failure
97.64,2.47,1453.97,11.82,410.4,85.44,26.78,78.52,Overheating
72.61,9.3,1436.88,11.52,410.62,90.17,21.79,52.59,Bearing Failure
69.56,8.29,1382.93,11.42,411.78,82.32,25.59,57.58,Bearing Failure
71.68,5.08,1457.13,10.97,415.82,86.71,20.3,25.86,Lubrication Failure
66.0,8.37,1399.13,11.13,418.53,89.43,20.29,47.8,Bearing Failure
61.82,7.2,1444.79,12.0,413.9,84.59,25.15,48.99,Bearing Failure
89.95,2.0,1478.69,10.7,413.19,87.18,23.1,78.4,Overheating
95.51,1.56,1466.85,11.24,414.26,80.8,24.87,83.06,Overheating
67.56,4.88,1401.82,11.53,413.18,67.89,31.38,77.72,Motor Misalignment
72.5,3.5,1449.26,10.16,412.43,69.09,27.08,64.47,Early Warning
68.86,8.23,1405.86,12.26,415.77,88.06,26.28,56.71,Bearing Failure
98.22,1.6,1458.26,11.08,415.99,96.72,25.52,77.4,Overheating
77.44,4.01,1448.0,10.59,413.59,73.62,25.59,72.24,Early Warning
61.83,1.67,1515.81,10.49,418.88,60.33,23.27,85.04,Healthy
75.18,3.6,1379.66,10.7,414.38,70.58,17.54,70.62,Early Warning
68.52,2.09,1466.66,15.19,400.86,62.88,19.98,80.05,Electrical Fault
71.94,2.23,1366.65,16.31,411.29,52.77,21.6,86.7,Electrical Fault
58.62,2.8,1478.97,16.6,394.02,65.43,20.89,80.34,Electrical Fault
100.98,1.75,1469.41,11.93,408.1,89.79,28.46,83.64,Overheating
75.36,3.72,1427.99,11.42,413.45,72.37,24.58,71.13,Early Warning
84.87,2.26,1494.81,11.74,412.13,90.64,27.3,76.47,Overheating
70.42,7.7,1379.34,11.97,411.66,90.16,23.04,49.72,Bearing Failure
72.89,8.74,1415.66,12.45,416.45,89.38,29.44,51.86,Bearing Failure
74.14,4.62,1424.66,10.49,412.5,69.25,21.58,77.81,Early Warning
65.47,5.96,1410.79,11.54,414.39,61.07,28.26,80.57,Motor Misalignment
70.35,3.39,1493.77,11.07,411.31,64.73,28.14,69.79,Early Warning
75.16,4.8,1411.79,10.7,410.17,74.69,26.41,68.37,Early Warning
95.98,1.7,1457.21,10.96,415.53,90.93,24.3,79.29,Overheating
71.08,3.59,1456.48,9.97,412.04,74.85,23.35,74.47,Early Warning
69.07,9.91,1446.25,11.63,407.14,84.54,21.36,51.27,Bearing Failure
92.9,1.8,1481.04,11.21,412.59,95.49,26.12,77.39,Overheating
63.54,3.27,1575.52,16.37,404.95,53.32,14.86,79.61,Electrical Fault
73.35,3.86,1406.11,11.23,414.12,69.18,25.19,70.31,Early Warning
62.6,6.65,1369.57,10.76,414.07,62.9,29.29,80.84,Motor Misalignment
71.21,7.65,1398.85,12.42,412.56,85.24,20.41,54.91,Bearing Failure
69.06,5.1,1451.64,10.58,410.02,64.56,32.06,75.56,Motor Misalignment
63.23,2.53,1426.75,16.08,398.1,58.09,19.13,84.46,Electrical Fault
68.28,10.07,1383.75,10.16,414.35,90.62,20.82,53.77,Bearing Failure
58.38,1.88,1487.43,9.86,416.32,53.95,25.45,89.78,Healthy
58.78,1.22,1493.79,9.86,414.43,51.66,26.16,86.57,Healthy
96.24,2.36,1505.18,11.9,414.6,92.47,26.74,78.97,Overheating
76.42,2.35,1410.52,11.69,409.23,72.65,26.12,67.82,Early Warning
65.72,8.54,1469.87,11.59,409.46,82.85,21.87,47.92,Bearing Failure
72.67,2.51,1376.23,15.05,396.43,61.6,15.26,82.1,Electrical Fault
64.44,9.34,1386.88,11.38,409.63,90.92,24.21,54.22,Bearing Failure
75.37,5.5,1460.48,11.27,415.32,63.91,28.21,79.49,Motor Misalignment
60.76,2.07,1505.47,11.12,419.29,54.08,24.36,86.41,Healthy
65.1,1.8,1481.05,18.36,395.39,59.59,19.63,80.45,Electrical Fault
58.73,1.84,1492.01,9.86,414.94,53.03,26.38,89.31,Healthy
69.31,11.34,1477.5,11.04,413.38,78.07,23.08,63.37,Bearing Failure
71.81,8.96,1491.05,11.56,409.97,91.19,21.3,54.45,Bearing Failure
98.59,1.69,1495.48,11.45,410.58,87.57,30.24,79.76,Overheating
72.47,3.13,1464.19,18.35,389.74,54.02,19.17,85.59,Electrical Fault
89.45,1.89,1434.73,11.09,420.79,89.82,26.2,81.65,Overheating
59.61,1.25,1518.57,9.7,413.4,51.79,23.69,86.28,Healthy
70.51,2.98,1456.26,10.12,408.65,71.61,23.33,67.91,Early Warning
65.4,5.58,1409.0,10.52,413.64,64.01,33.98,77.1,Motor Misalignment
98.66,2.31,1464.86,11.08,413.58,93.12,25.28,80.68,Overheating
76.68,4.12,1405.39,10.74,413.29,69.44,26.56,80.31,Early Warning
68.1,8.66,1337.42,11.06,414.12,95.54,26.45,58.3,Bearing Failure
72.8,3.01,1476.72,10.4,412.41,69.8,27.11,71.84,Early Warning
76.5,6.47,1428.28,10.3,414.72,81.15,19.26,26.99,Lubrication Failure
67.95,5.29,1448.14,11.02,411.77,81.4,21.26,30.26,Lubrication Failure
56.78,1.23,1502.34,8.88,411.03,53.39,23.34,86.19,Healthy
60.97,1.45,1514.24,9.41,413.3,53.13,27.65,85.99,Healthy
73.05,10.21,1453.23,11.73,411.08,86.57,26.17,43.59,Bearing Failure
67.12,6.56,1343.17,10.91,410.82,59.47,27.1,76.72,Motor Misalignment
63.05,1.51,1486.02,10.63,413.29,54.44,22.98,87.5,Healthy
92.12,1.93,1502.13,10.4,416.65,90.41,22.7,84.09,Overheating
75.37,3.41,1478.14,11.0,409.24,69.23,17.73,66.37,Early Warning
59.15,1.86,1512.38,9.83,418.19,51.57,25.01,92.79,Healthy
70.6,5.86,1482.16,11.24,411.35,80.05,18.43,27.74,Lubrication Failure
71.29,6.41,1272.75,10.71,415.88,64.74,31.83,77.61,Motor Misalignment
63.47,3.14,1429.04,18.28,392.89,60.41,24.68,77.95,Electrical Fault
89.42,1.79,1444.78,10.97,409.41,87.23,23.78,84.44,Overheating
63.86,6.57,1464.31,11.24,408.87,82.64,20.54,30.81,Lubrication Failure
88.37,2.35,1445.36,9.48,412.97,86.98,24.28,70.69,Overheating
70.17,8.62,1435.75,11.05,415.62,82.55,21.49,63.49,Bearing Failure
60.02,2.33,1515.0,10.15,414.8,53.13,25.15,87.69,Healthy
93.51,2.42,1470.94,11.74,413.86,95.43,28.3,83.15,Overheating
66.77,7.54,1395.56,10.61,416.88,88.55,23.21,49.17,Bearing Failure
69.79,3.06,1495.49,14.53,391.42,62.87,22.06,82.83,Electrical Fault
58.99,2.05,1503.74,9.34,410.75,58.37,27.39,85.97,Healthy
61.39,2.78,1459.3,16.52,393.74,57.69,27.49,82.11,Electrical Fault
61.72,1.75,1510.56,10.16,415.17,55.41,25.9,84.12,Healthy
66.89,6.54,1485.6,11.19,413.23,75.32,28.15,27.42,Lubrication Failure
69.62,2.13,1412.62,15.67,398.34,56.36,24.66,81.38,Electrical Fault
65.8,1.6,1445.27,17.29,400.07,62.46,18.45,83.65,Electrical Fault
69.89,2.71,1403.79,11.09,416.23,64.64,22.35,65.9,Early Warning
64.92,5.41,1351.11,10.54,412.38,59.88,35.31,82.69,Motor Misalignment
63.14,3.34,1586.7,10.0,409.04,66.72,22.88,73.17,Motor Misalignment
72.33,2.94,1459.92,18.37,393.5,63.53,17.82,83.21,Electrical Fault
65.67,9.13,1464.6,11.27,409.79,83.39,19.91,56.54,Bearing Failure
67.49,5.81,1335.34,10.36,419.54,66.25,39.03,77.18,Motor Misalignment
73.93,8.53,1448.65,11.2,406.85,91.13,23.09,52.6,Bearing Failure
68.09,2.77,1476.98,16.98,386.97,59.97,26.84,86.76,Electrical Fault
71.2,8.56,1411.43,10.78,411.56,93.73,21.4,41.78,Bearing Failure
71.42,3.46,1430.49,16.56,383.12,65.93,20.13,81.1,Electrical Fault
70.62,3.73,1409.5,10.71,419.49,69.24,21.78,73.46,Early Warning
71.42,7.26,1343.29,12.13,412.17,86.51,22.49,58.63,Bearing Failure
68.38,2.39,1523.57,15.55,397.06,62.04,21.32,81.11,Electrical Fault
63.72,5.35,1285.24,10.32,409.9,63.03,33.1,77.76,Motor Misalignment
95.2,2.75,1473.78,11.9,413.8,91.34,25.3,80.48,Overheating
67.82,8.43,1387.27,11.0,412.58,88.78,19.7,57.09,Bearing Failure
70.88,1.91,1519.11,17.15,402.72,57.19,26.55,88.0,Electrical Fault
68.59,1.54,1441.28,15.07,388.28,62.38,21.59,81.51,Electrical Fault
72.27,8.61,1360.29,11.34,408.42,87.08,23.0,64.04,Bearing Failure
66.85,8.52,1377.68,10.18,408.19,90.15,24.35,49.79,Bearing Failure
98.38,2.1,1470.83,10.83,410.76,92.53,26.56,81.31,Overheating
69.36,4.19,1398.9,10.79,411.67,66.78,29.74,77.39,Motor Misalignment
66.2,8.11,1384.69,12.57,413.4,79.01,25.85,64.23,Bearing Failure
65.95,1.71,1533.53,17.54,378.99,59.74,19.15,79.73,Electrical Fault
69.76,6.65,1381.25,11.34,411.36,78.41,24.75,59.33,Bearing Failure
62.79,5.42,1399.96,12.2,412.2,64.63,38.44,76.24,Motor Misalignment
69.98,9.85,1423.48,11.48,415.56,88.14,24.2,55.76,Bearing Failure
71.91,8.02,1304.74,10.82,412.89,88.51,25.22,59.04,Bearing Failure
92.76,2.51,1500.7,12.07,412.19,92.67,22.18,82.49,Overheating
67.15,5.64,1402.68,11.17,418.25,65.1,30.94,81.99,Motor Misalignment
70.87,2.93,1369.35,17.74,397.02,57.87,18.49,82.1,Electrical Fault
67.33,4.9,1325.47,10.86,415.44,63.13,23.13,75.12,Motor Misalignment
57.69,1.63,1565.88,10.21,410.86,57.53,23.18,87.73,Healthy
65.84,9.41,1430.2,10.02,408.79,89.79,22.6,52.42,Bearing Failure
92.18,2.38,1473.39,11.27,413.3,86.84,25.46,84.62,Overheating
96.13,2.62,1492.84,11.45,413.2,92.41,25.7,78.68,Overheating
71.96,8.67,1341.6,11.51,415.06,90.52,20.96,54.71,Bearing Failure
68.88,6.11,1415.58,9.62,415.63,80.2,18.21,26.37,Lubrication Failure
69.48,6.38,1384.04,11.66,413.69,100.33,23.84,58.15,Bearing Failure
80.41,5.45,1460.37,11.7,417.42,79.62,27.41,40.06,Lubrication Failure
73.21,2.41,1463.34,17.08,391.57,66.8,18.69,82.18,Electrical Fault
95.06,2.83,1485.69,11.01,414.22,91.6,27.25,77.83,Overheating
57.07,1.95,1516.14,10.74,416.12,57.77,24.41,83.57,Healthy
95.02,1.84,1467.81,10.55,411.85,85.97,25.03,77.32,Overheating
62.99,1.62,1463.15,9.04,411.22,51.06,24.69,81.43,Healthy
60.39,1.88,1492.49,10.45,418.87,57.91,24.45,87.27,Healthy
59.23,2.03,1538.68,10.98,411.32,52.22,27.97,81.83,Healthy
62.15,1.83,1474.88,9.92,419.14,60.03,26.43,81.43,Healthy
64.54,2.34,1502.69,9.84,419.05,57.14,23.04,81.9,Healthy
65.29,8.41,1465.23,12.22,411.96,86.17,21.68,52.8,Bearing Failure
73.29,4.0,1418.51,11.41,406.01,68.32,23.49,75.23,Early Warning
94.43,2.05,1507.75,10.9,417.48,90.82,25.82,80.47,Overheating
71.51,4.22,1405.29,10.17,413.4,68.76,19.49,71.58,Early Warning
74.71,9.61,1501.39,11.7,412.7,86.93,23.98,41.15,Bearing Failure
76.76,4.07,1486.79,10.61,417.5,65.6,26.24,68.52,Early Warning
71.02,3.23,1535.56,18.03,393.91,62.32,20.67,79.87,Electrical Fault
69.75,2.52,1494.61,18.03,399.18,62.39,24.97,84.28,Electrical Fault
69.19,1.93,1495.4,16.35,398.57,63.61,19.69,79.97,Electrical Fault
69.27,4.37,1390.19,10.64,411.65,62.18,34.43,76.95,Motor Misalignment
96.56,1.88,1508.3,11.32,411.42,89.13,28.94,84.06,Overheating
59.0,1.9,1496.44,9.29,417.97,46.78,24.11,83.14,Healthy
93.59,2.27,1477.68,10.85,411.48,88.76,26.67,84.26,Overheating
57.2,1.74,1481.0,9.83,417.52,49.82,25.87,85.71,Healthy
96.13,1.32,1466.29,11.66,423.03,89.04,23.51,78.46,Overheating
58.39,1.48,1495.32,10.55,413.44,52.39,25.31,86.5,Healthy
75.34,7.44,1381.41,9.9,409.36,74.75,18.4,23.37,Lubrication Failure
58.38,1.75,1501.82,10.3,418.24,54.12,24.09,86.31,Healthy
73.26,8.08,1386.3,12.34,414.85,81.77,19.7,46.08,Bearing Failure
72.83,6.06,1483.16,10.36,406.43,74.75,20.41,30.59,Lubrication Failure
90.76,1.71,1499.9,10.83,417.52,90.57,33.11,78.58,Overheating
69.66,3.34,1433.25,11.61,411.48,70.79,24.68,73.47,Early Warning
68.19,5.68,1367.17,10.48,413.26,70.3,29.79,79.96,Motor Misalignment
74.64,6.33,1436.72,11.16,413.42,85.61,16.98,26.85,Lubrication Failure
66.56,6.99,1438.32,10.46,409.55,79.12,19.3,23.92,Lubrication Failure
65.14,8.34,1287.96,10.09,412.0,87.36,22.06,43.1,Bearing Failure
76.08,2.94,1449.68,10.33,412.79,66.49,20.65,74.94,Early Warning
65.15,1.73,1501.05,9.57,417.15,59.1,28.25,85.61,Healthy
77.58,6.02,1432.07,10.0,414.39,84.26,21.15,22.29,Lubrication Failure
58.06,2.29,1482.47,9.83,415.32,51.72,25.66,89.84,Healthy
55.5,1.49,1489.24,10.61,413.08,56.92,23.92,85.74,Healthy
64.49,2.12,1513.67,9.54,420.19,56.61,24.23,83.0,Healthy
57.12,2.22,1524.59,10.3,415.61,55.68,24.84,86.92,Healthy
63.51,5.52,1391.04,10.7,411.71,82.14,24.66,31.8,Lubrication Failure
68.54,10.0,1533.96,11.1,413.88,93.19,22.2,50.03,Bearing Failure
58.71,2.04,1495.28,9.85,415.31,60.09,22.32,87.31,Healthy
69.95,5.57,1453.54,11.6,410.49,83.47,25.33,28.25,Lubrication Failure
55.51,2.28,1504.0,8.67,413.98,56.96,24.53,87.15,Healthy
97.36,2.15,1489.53,11.67,413.39,91.14,28.5,79.6,Overheating
64.55,2.14,1488.3,9.3,416.38,48.05,27.22,84.36,Healthy
70.36,6.03,1405.75,9.63,416.36,88.45,18.51,27.94,Lubrication Failure
76.08,4.59,1445.82,11.21,413.78,80.21,23.46,27.8,Lubrication Failure
66.41,4.21,1470.54,10.34,418.44,67.86,31.11,81.41,Motor Misalignment
63.09,2.58,1532.53,17.82,399.07,61.0,19.62,79.3,Electrical Fault
59.76,1.29,1467.69,10.24,413.43,47.31,26.57,85.82,Healthy
71.15,6.56,1445.35,11.26,414.76,83.55,21.17,24.41,Lubrication Failure
68.12,0.81,1479.6,16.73,397.59,59.27,20.15,82.52,Electrical Fault
67.11,8.99,1367.99,11.25,414.87,81.41,30.12,49.86,Bearing Failure
69.64,2.9,1449.08,14.53,397.89,67.77,13.13,83.41,Electrical Fault
73.41,2.67,1435.98,11.16,410.31,75.82,26.38,64.62,Early Warning
60.03,2.04,1532.93,10.29,417.41,54.4,23.58,86.96,Healthy
101.36,2.29,1444.67,11.73,411.92,92.14,23.43,86.68,Overheating
65.53,5.17,1356.1,11.1,418.44,67.34,25.41,75.51,Motor Misalignment
66.02,4.52,1382.69,10.89,411.88,86.43,22.25,27.56,Lubrication Failure
67.07,8.91,1386.04,11.49,412.51,94.27,26.92,51.87,Bearing Failure
66.89,8.7,1427.45,11.37,411.51,99.01,21.37,49.9,Bearing Failure
71.62,7.57,1507.63,11.8,414.68,89.24,26.36,43.02,Bearing Failure
57.57,1.2,1510.81,11.06,419.17,54.23,25.02,87.66,Healthy
74.51,4.15,1439.27,11.8,411.63,62.91,23.76,75.12,Early Warning
62.97,1.81,1474.27,9.32,410.72,49.7,25.22,88.38,Healthy
65.07,5.14,1318.73,10.95,413.43,63.41,33.16,74.8,Motor Misalignment
62.65,1.71,1512.83,10.11,417.16,50.97,24.71,84.83,Healthy
67.95,3.99,1307.31,10.38,409.96,66.54,16.67,80.95,Motor Misalignment
78.84,5.37,1456.27,11.27,412.76,81.46,22.8,31.8,Lubrication Failure
63.34,1.92,1497.38,10.17,420.85,61.23,25.14,85.48,Healthy
55.6,1.61,1489.42,9.89,410.21,56.79,26.33,86.53,Healthy
